id,kanji_list,tokens
s001,"[31, 96, 98]","[{""kind"": ""word"", ""ja"": ""私"", ""reading"": ""わたし"", ""en"": ""I"", ""kanji"": [""私""], ""targets"": [31]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""学生"", ""reading"": ""がくせい"", ""en"": ""student"", ""kanji"": [""学"", ""生""], ""targets"": [96, 98]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s002,"[1, 54]","[{""kind"": ""word"", ""ja"": ""一人"", ""reading"": ""ひとり"", ""en"": ""one person"", ""kanji"": [""一""], ""targets"": [1]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s003,"[2, 50, 54]","[{""kind"": ""word"", ""ja"": ""二人"", ""reading"": ""ふたり"", ""en"": ""two people"", ""kanji"": [""二""], ""targets"": [2]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""店"", ""reading"": ""みせ"", ""en"": ""shop"", ""kanji"": [""店""], ""targets"": [50]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s004,"[3, 62]","[{""kind"": ""word"", ""ja"": ""三つ"", ""reading"": ""みっつ"", ""en"": ""three"", ""kanji"": [""三""], ""targets"": [3]}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s005,"[4, 34]","[{""kind"": ""word"", ""ja"": ""子供"", ""reading"": ""こども"", ""en"": ""child"", ""kanji"": [""子""], ""targets"": [34]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""四人"", ""reading"": ""よにん"", ""en"": ""four people"", ""kanji"": [""四""], ""targets"": [4]}, {""kind"": ""particle"", ""kana"": ""いる""}]"
s006,"[5, 57]","[{""kind"": ""word"", ""ja"": ""五つ"", ""reading"": ""いつつ"", ""en"": ""five"", ""kanji"": [""五""], ""targets"": [5]}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s007,"[6, 22, 55]","[{""kind"": ""word"", ""ja"": ""六時"", ""reading"": ""ろくじ"", ""en"": ""six o'clock"", ""kanji"": [""六"", ""時""], ""targets"": [6, 22]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""来る"", ""reading"": ""くる"", ""en"": ""come"", ""kanji"": [""来""], ""targets"": [55]}]"
s008,"[7, 62]","[{""kind"": ""word"", ""ja"": ""七つ"", ""reading"": ""ななつ"", ""en"": ""seven"", ""kanji"": [""七""], ""targets"": [7]}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s009,"[8, 56]","[{""kind"": ""word"", ""ja"": ""八つ"", ""reading"": ""やっつ"", ""en"": ""eight"", ""kanji"": [""八""], ""targets"": [8]}, {""kind"": ""word"", ""ja"": ""見る"", ""reading"": ""みる"", ""en"": ""see"", ""kanji"": [""見""], ""targets"": [56]}]"
s010,[9],"[{""kind"": ""word"", ""ja"": ""九つ"", ""reading"": ""ここのつ"", ""en"": ""nine"", ""kanji"": [""九""], ""targets"": [9]}, {""kind"": ""particle"", ""kana"": ""ある""}]"
s011,"[10, 30]","[{""kind"": ""word"", ""ja"": ""十"", ""reading"": ""じゅう"", ""en"": ""ten"", ""kanji"": [""十""], ""targets"": [10]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""people"", ""kanji"": [""人""], ""targets"": [30]}]"
s012,"[15, 24, 29]","[{""kind"": ""word"", ""ja"": ""今日"", ""reading"": ""きょう"", ""en"": ""today"", ""kanji"": [""今""], ""targets"": [24]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""月曜日"", ""reading"": ""げつようび"", ""en"": ""Monday"", ""kanji"": [""月"", ""曜""], ""targets"": [15, 29]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s013,"[16, 29]","[{""kind"": ""word"", ""ja"": ""明日"", ""reading"": ""あした"", ""en"": ""tomorrow"", ""kanji"": [], ""targets"": []}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""火曜日"", ""reading"": ""かようび"", ""en"": ""Tuesday"", ""kanji"": [""火"", ""曜""], ""targets"": [16, 29]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s014,"[17, 29]","[{""kind"": ""word"", ""ja"": ""水曜日"", ""reading"": ""すいようび"", ""en"": ""Wednesday"", ""kanji"": [""水"", ""曜""], ""targets"": [17, 29]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""会う"", ""reading"": ""あう"", ""en"": ""meet"", ""kanji"": [], ""targets"": []}]"
